text_length,url_count,followers
0.1959459,0.0,0.0002408
0.1689189,0.0,1.19e-05
0.2027027,0.0,2.7e-05
0.3040541,0.0,0.0013237
0.1655405,0.0,2.72e-05
0.4560811,0.0,0.0002574
0.2905405,0.2,0.0001408
0.4560811,0.0,0.0004789
0.2601351,0.0,0.0007061
0.0540541,0.0,9.03e-05
0.1114865,0.2,1e-06
0.402027,0.2,4.5e-06
0.2094595,0.0,2.74e-05
0.1452703,0.0,0.0042171
0.4256757,0.2,0.0001787
0.3952703,0.0,1.2e-06
0.1351351,0.0,5.4e-06
0.2162162,0.0,0.0003443
0.4358108,0.0,1.2e-06
0.4324324,0.0,8.1e-06
0.1858108,0.2,9.39e-05
0.3817568,0.2,3.54e-05
0.3682432,0.0,0.0012953
0.2804054,0.2,4.7e-06
0.4527027,0.0,0.0001529
0.2128378,0.2,3.8e-06
0.2027027,0.0,0.0003521
0.4527027,0.0,0.0003262
0.4527027,0.0,0.0208208
0.4527027,0.0,0.0004144
0.4594595,0.0,0.0001885
0.1554054,0.0,0.0006118
0.3581081,0.2,3e-06
0.3817568,0.2,3e-06
0.0709459,0.0,0.0398303
0.1655405,0.0,0.0027478
0.1891892,0.2,3e-06
0.1993243,0.0,0.6929073
0.2297297,0.0,7.16e-05
0.3209459,0.0,1.34e-05
0.3581081,0.0,0.002229
0.4087838,0.0,0.0003386
0.222973,0.0,0.0003386
0.3074324,0.0,0.0003386
0.3581081,0.0,0.0003386
0.3209459,0.0,0.0003386
0.2331081,0.0,0.0003386
0.2635135,0.0,0.0550904
0.3310811,0.0,0.0003386
0.1790541,0.0,0.0003386
0.2162162,0.0,0.0022291
0.3209459,0.0,5e-07
0.2128378,0.0,0.0068053
0.2668919,0.0,0.0003386
0.0439189,0.0,0.0097496
0.4155405,0.0,6.03e-05
0.2060811,0.0,8.03e-05
0.4324324,0.2,2.8e-06
0.2060811,0.0,0.0246816
0.2702703,0.0,0.0002108
0.3243243,0.2,0.0014072
0.3783784,0.0,0.0022305
0.2567568,0.2,2.45e-05
0.2939189,0.0,9.01e-05
0.347973,0.0,0.0021671
0.3108108,0.0,9.01e-05
0.402027,0.2,0.0275276
0.4560811,0.0,0.0003451
0.1385135,0.0,0.0026109
0.4222973,0.2,0.0001695
0.4594595,0.0,0.0001972
0.4121622,0.0,0.0009202
0.4459459,0.2,5.6e-06
0.1216216,0.0,0.0052238
0.3885135,0.0,1.2e-06
0.0675676,0.0,2.72e-05
0.2128378,0.0,0.0095813
0.4560811,0.2,1e-05
0.4527027,0.2,0.0005968
0.4290541,0.0,0.0002442
0.4290541,0.2,0.0008289
0.1283784,0.0,0.000685
0.3243243,0.0,1.34e-05
0.2398649,0.0,0.0012857
0.3547297,0.0,0.0011812
0.222973,0.0,0.0003958
0.4527027,0.0,1.8e-06
0.1689189,0.0,9.12e-05
0.4290541,0.0,2.4e-06
0.3074324,0.0,6.89e-05
0.4256757,0.0,5e-07
0.4121622,0.2,0.0001585
0.4594595,0.0,0.002383
0.3412162,0.0,0.0015
0.1148649,0.0,6.93e-05
0.2162162,0.0,0.0005399
0.3108108,0.0,0.0001484
0.2364865,0.0,0.0050163
0.2905405,0.0,0.0004095
0.402027,0.0,0.0007638
0.4560811,0.0,8.38e-05
0.1824324,0.2,0.0001683
0.3378378,0.0,0.0066675
0.2601351,0.2,0.0025544
0.2364865,0.0,0.0009971
0.3885135,0.0,0.001486
0.2905405,0.0,0.1028487
0.3851351,0.0,0.0009166
0.3885135,0.0,0.0027476
0.2094595,0.0,0.0009971
0.3547297,0.0,0.0003386
0.1283784,0.2,0.6936675
0.4594595,0.0,0.0001676
0.3547297,0.0,0.000345
0.3547297,0.0,0.0010849
0.1689189,0.0,0.0014633
0.4594595,0.2,0.0003497
0.25,0.2,0.0761246
0.4391892,0.0,0.000162
0.0912162,0.0,4.22e-05
0.3141892,0.0,0.000342
0.1756757,0.0,0.0003058
0.4560811,0.2,5.8e-06
0.4560811,0.2,0.0014066
0.2972973,0.2,0.001044
0.0912162,0.0,0.0059306
0.4256757,0.0,6.51e-05
0.3918919,0.2,0.0023857
0.1756757,0.0,0.0006727
0.3175676,0.0,0.0012603
0.3006757,0.0,0.0003758
0.4560811,0.0,9.28e-05
0.3344595,0.0,0.0015574
0.2837838,0.2,0.0032288
0.3986486,0.0,0.0028019
0.1385135,0.2,0.0013467
0.1418919,0.0,0.0001941
0.4493243,0.2,0.0003478
0.2466216,0.0,0.0003557
0.2601351,0.0,0.0158198
0.4628378,0.0,0.001939
0.3310811,0.0,0.0050163
0.4459459,0.0,0.0014224
0.3445946,0.0,1.23e-05
0.1925676,0.0,0.0005429
0.2601351,0.2,0.001905
0.1689189,0.0,0.0003451
0.2736486,0.0,0.0065144
0.4358108,0.0,0.0270447
0.3648649,0.0,0.0086861
0.3918919,0.0,0.0030086
0.3310811,0.0,0.0026637
0.222973,0.0,0.0015141
0.1891892,0.0,0.0037367
0.1351351,0.0,0.0010232
0.4189189,0.2,0.0135332
0.1756757,0.0,0.0057014
0.4493243,0.0,0.016558
0.2162162,0.2,0.0896093
0.2263514,0.0,0.0193512
